nom_enseigne,longitude,latitude,territoryLabel
E. LECLERC DRIVE,-1.729677,48.204195,OUEST
E. LECLERC DRIVE,0.3534186,46.5660305,SUD
E. LECLERC DRIVE,4.29859,45.38854,SUD
E. LECLERC DRIVE,2.8748735,48.9289438,ILE-DE-FRANCE
E. LECLERC DRIVE,5.2515928,45.5993671,SUD
E. LECLERC DRIVE,0.0427651,43.2237463,SUD
E. LECLERC DRIVE,-1.521935,43.49416,SUD
E. LECLERC DRIVE,4.7257126,46.0153429,SUD
E. LECLERC DRIVE,2.57372,44.3619,SUD
E. LECLERC DRIVE,-1.563701,49.634527,NORD
E. LECLERC DRIVE,0.52958,46.82637,SUD
E. LECLERC DRIVE,1.0395987,49.4675423,NORD
E. LECLERC DRIVE,3.5392035,50.3739827,NORD
E. LECLERC DRIVE,0.219649,49.507124,NORD
E. LECLERC DRIVE,-0.20703,48.91347,NORD
E. LECLERC DRIVE,5.095622,47.3179791,EST
E. LECLERC DRIVE,0.78614,47.39372,OUEST
E. LECLERC DRIVE,3.135745,45.7789935,SUD
E. LECLERC DRIVE,7.1222681,43.6757172,SUD
E. LECLERC DRIVE,-3.818366,48.194762,OUEST
E. LECLERC DRIVE,2.216061,43.064299,SUD
E. LECLERC DRIVE,2.7161586,50.271205,NORD
E. LECLERC DRIVE,6.2732765,46.2014775,SUD
E. LECLERC DRIVE,-3.7191432,48.0191916,OUEST
E. LECLERC DRIVE,4.2842353,45.537704,SUD
E. LECLERC DRIVE,1.4219185,44.4628119,SUD
E. LECLERC DRIVE,2.9476214,50.4965762,NORD
E. LECLERC DRIVE,1.4353037,48.4469132,OUEST
E. LECLERC DRIVE,-1.632174,43.400291,SUD
E. LECLERC DRIVE,2.04229,48.79916,ILE-DE-FRANCE
E. LECLERC DRIVE,1.3949465,50.0288446,NORD
E. LECLERC DRIVE,-1.72572,47.2801,OUEST
E. LECLERC DRIVE,-0.4235378,49.1650359,NORD
E. LECLERC DRIVE,4.9905322,45.8218485,SUD
E. LECLERC DRIVE,0.7101178,47.4272718,OUEST
E. LECLERC DRIVE,4.1157854,43.678463,SUD
E. LECLERC DRIVE,2.5510052,50.714392,NORD
E. LECLERC DRIVE,2.0900577,49.0673713,ILE-DE-FRANCE
E. LECLERC DRIVE,2.433815,50.955183,NORD
E. LECLERC DRIVE,-2.7951374,47.6600899,OUEST
E. LECLERC DRIVE,3.1475575,50.6413406,NORD
E. LECLERC DRIVE,3.1096276,50.392284,NORD
E. LECLERC DRIVE,3.9992933,49.2829303,EST
E. LECLERC DRIVE,4.6336,43.67306,SUD
E. LECLERC DRIVE,1.6058112,50.7000286,NORD
E. LECLERC DRIVE,5.6940945,45.1504072,SUD
E. LECLERC DRIVE,-1.5878677,47.2634545,OUEST
E. LECLERC DRIVE,-1.6328695,47.2240485,OUEST
E. LECLERC DRIVE,4.716102,45.9686956,SUD
LE DRIVE INTERMARCHE,5.968714,44.139691,SUD
LE DRIVE INTERMARCHE,1.21934,43.69866,SUD
LE DRIVE INTERMARCHE,5.570249,46.166975,SUD
LE DRIVE INTERMARCHE,2.26473,48.84293,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,4.961125,46.71054,EST
LE DRIVE INTERMARCHE,1.81913,48.78217,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,-0.632382,49.02393,NORD
LE DRIVE INTERMARCHE,3.1393845,45.702339,SUD
LE DRIVE INTERMARCHE,6.2776784,45.7544265,SUD
LE DRIVE INTERMARCHE,3.8659128,43.7607469,SUD
LE DRIVE INTERMARCHE,7.071964,49.10451,EST
LE DRIVE INTERMARCHE,7.53693,48.011603,EST
LE DRIVE INTERMARCHE,4.006297,46.478762,EST
LE DRIVE INTERMARCHE,-4.446374,48.401152,OUEST
LE DRIVE INTERMARCHE,7.09099,43.57403,SUD
LE DRIVE INTERMARCHE,5.1124369,47.5292236,EST
LE DRIVE INTERMARCHE,-1.4099114,47.0831457,OUEST
LE DRIVE INTERMARCHE,-3.551802,47.872989,OUEST
LE DRIVE INTERMARCHE,2.3926421,50.6218911,NORD
LE DRIVE INTERMARCHE,-2.1000266,47.6311235,OUEST
LE DRIVE INTERMARCHE,4.15624,46.15217,SUD
LE DRIVE INTERMARCHE,2.528066,48.84529,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,1.23484,49.8764,NORD
LE DRIVE INTERMARCHE,2.714095,48.898215,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,1.02641,48.47513,OUEST
LE DRIVE INTERMARCHE,1.181805,49.2112822,NORD
LE DRIVE INTERMARCHE,4.0102145,45.7352664,SUD
LE DRIVE INTERMARCHE,0.8040617,48.3286398,OUEST
LE DRIVE INTERMARCHE,6.579809,47.447751,EST
LE DRIVE INTERMARCHE,-0.568182,44.880095,SUD
LE DRIVE INTERMARCHE,-0.194254,44.996491,SUD
LE DRIVE INTERMARCHE,-0.604154,42.975634,SUD
LE DRIVE INTERMARCHE,2.654869,50.499561,NORD
LE DRIVE INTERMARCHE,6.38097,45.6612,SUD
LE DRIVE INTERMARCHE,5.0349979,44.7226114,SUD
LE DRIVE INTERMARCHE,-0.93357,43.7839,SUD
LE DRIVE INTERMARCHE,5.4501013,45.683643,SUD
LE DRIVE INTERMARCHE,-1.48029,47.43975,OUEST
LE DRIVE INTERMARCHE,-1.4530594,43.4917864,SUD
LE DRIVE INTERMARCHE,6.37885,46.77125,EST
LE DRIVE INTERMARCHE,2.762329,50.312292,NORD
LE DRIVE INTERMARCHE,3.4792972,50.3461211,NORD
LE DRIVE INTERMARCHE,3.99078,44.944448,SUD
LE DRIVE INTERMARCHE,2.023294,50.373147,NORD
LE DRIVE INTERMARCHE,-0.064795,44.585961,SUD
LE DRIVE INTERMARCHE,0.62068,43.66331,SUD
LE DRIVE INTERMARCHE,4.67403,45.256845,SUD
LE DRIVE INTERMARCHE,2.52417,48.88469,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,5.04796,45.84635,SUD
LE DRIVE INTERMARCHE,7.91154,48.89696,EST
LE DRIVE INTERMARCHE,1.951994,49.661691,NORD
LE DRIVE INTERMARCHE,-4.26579,48.45005,OUEST
LE DRIVE INTERMARCHE,1.6260108,48.7925982,ILE-DE-FRANCE
LE DRIVE INTERMARCHE,-0.5878528,44.790657,SUD
LE DRIVE INTERMARCHE,-0.60383,45.74017,SUD
LE DRIVE INTERMARCHE,-0.387846,43.284918,SUD
LE DRIVE INTERMARCHE,-1.0562344,47.1535901,OUEST
LE DRIVE INTERMARCHE,1.514885,48.639179,OUEST
LE DRIVE INTERMARCHE,5.594739,43.389118,SUD
LE DRIVE INTERMARCHE,3.493559,48.487312,EST
LE DRIVE INTERMARCHE,-3.390938,47.756575,OUEST
LE DRIVE INTERMARCHE,1.2732889,43.5809556,SUD
LE DRIVE INTERMARCHE,-1.0389244,44.7023464,SUD
LE DRIVE INTERMARCHE,2.4922611,46.7345406,OUEST
LE DRIVE INTERMARCHE,-3.31199,48.23665,OUEST
LE DRIVE INTERMARCHE,-1.2590855,45.904015,SUD
